 D(z_c), D(G(z_mis))
1.337085366,1.518789053
0.87021935,0.906135559
0.621311367,0.579342067
0.455208689,0.385545105
0.350003242,0.130908132
0.287879825,0.036369108
0.258294672,0.006721662
0.250536442,0.000398902
0.250938237,1.90E-07
0.249213666,1.11E-09
0.249631926,1.45E-08
0.249797434,4.18E-08
0.249819919,6.32E-08
0.251791239,7.27E-08
0.250991285,1.45E-07
0.25068143,1.90E-07
0.25009647,1.95E-08
0.249323726,1.33E-07
0.250126094,1.11E-07
0.250511795,1.28E-07
0.249728858,1.53E-07
0.2493359,2.55E-07
0.250658393,2.01E-07
0.251436293,2.72E-07
0.251228571,7.20E-07
0.248847991,7.81E-07
0.250695944,1.71E-07
0.250695795,2.52E-07
0.249986902,7.46E-07
0.250560939,3.14E-08
0.249816924,8.84E-08
0.249951392,1.01E-07
0.250039816,2.51E-07
0.250158608,4.96E-09
0.249316037,1.86E-08
0.250685632,4.61E-10
0.250398189,4.07E-09
0.250183403,1.52E-10
0.250386596,1.39E-10
0.250396729,5.11E-09
0.251091242,8.62E-10
0.250453293,2.58E-10
0.250611842,5.93E-11
0.250608623,2.64E-10
0.250690311,2.34E-09
0.250309318,2.54E-12
0.251440674,7.20E-13
0.250127167,6.56E-11
0.251096368,4.89E-10
0.2510598,3.78E-09
