 D(z_c), D(G(z_mis))
1.340126157,1.678038955
0.871844053,1.02381134
0.620556951,0.671845973
0.455481708,0.369423479
0.349464595,0.195988402
0.288340777,0.067149796
0.259098768,0.013621634
0.251481175,0.000622228
0.249934256,1.29E-07
0.249837726,3.19E-09
0.249652267,4.19E-08
0.250113606,2.43E-07
0.250660241,2.22E-07
0.248786792,1.80E-07
0.249977916,2.77E-08
0.250627339,2.42E-07
0.250535727,4.38E-07
0.25133577,4.76E-07
0.250511527,3.30E-07
0.250367045,1.08E-07
0.250260532,8.69E-08
0.250293553,1.53E-07
0.250213981,5.86E-08
0.248660505,8.88E-08
0.24944286,1.09E-07
0.249647632,2.70E-07
0.249486864,1.84E-07
0.250403225,8.06E-08
0.249806255,4.42E-08
0.25084874,4.25E-07
0.250050157,2.29E-07
0.250238538,8.32E-08
0.251424223,1.24E-07
0.2505292,3.05E-09
0.249180257,2.02E-08
0.249791533,7.46E-07
0.249921709,2.20E-07
0.249508351,6.60E-08
0.249434292,9.31E-07
0.250489593,1.08E-06
0.25025484,1.04E-06
0.251966685,1.80E-06
0.251326442,6.05E-07
0.251696646,8.51E-09
0.250342309,5.07E-08
0.25078702,5.38E-08
0.250346929,6.61E-09
0.249980003,8.54E-09
0.250101596,3.33E-08
0.249508023,1.04E-10
