 D(z_c), D(G(z_mis))
0.377092332,-0.869331181
-0.458993942,2.839615583
-0.496435136,3.594599247
-0.727467954,4.081272602
-0.78578043,5.229486942
-0.710688174,6.394070625
-0.778375804,8.066184044
-0.501341105,8.009846687
-0.39965871,8.823906898
-0.322708368,8.01599884
-0.341968209,9.837820053
-0.440642774,10.88099957
-0.431933165,10.4640255
-0.436072409,11.41663361
-0.497089535,10.85832405
-0.45821014,12.34415245
-0.452710569,12.47707272
-0.439086795,11.73715687
-0.511610866,13.48647594
-0.426119983,13.45982456
-0.585056841,12.32320213
-0.626426458,13.0063715
-0.521405458,14.91459942
-0.600398183,13.12582016
-0.55698657,14.28133106
-0.579584897,14.29593468
-0.535270512,15.16669655
-0.508509398,15.32228756
-0.56605494,15.0213213
-0.807335198,16.38517761
-0.727223992,17.42933273
-0.796200275,17.50353622
-0.592655897,17.77926636
-0.564758718,17.48267365
-0.67621398,19.18335152
-0.577354908,19.72683525
-0.745476425,21.31352615
-0.832464099,18.4210434
-0.713271677,21.74006653
-0.840569854,21.71399689
-0.558202267,22.1733532
-0.786021888,22.7460804
-0.805740595,23.32063675
-0.784993291,23.14801979
-0.952162743,23.25217628
-0.758898437,25.19747353
-1.065414667,25.12397575
-0.902956426,24.69286728
-0.763727605,24.68955421
-0.826290607,25.54351616
